city,state_abbr,population,lat,lon
New York,NY,8405837,40.7127837,-74.0059413
Los Angeles,CA,3884307,34.0522342,-118.2436849
Chicago,IL,2718782,41.8781136,-87.6297982
Houston,TX,2195914,29.7604267,-95.3698028
Philadelphia,PA,1553165,39.9525839,-75.1652215
Phoenix,AZ,1513367,33.4483771,-112.0740373
San Antonio,TX,1409019,29.4241219,-98.4936282
San Diego,CA,1355896,32.715738,-117.1610838
Dallas,TX,1257676,32.7766642,-96.7969879
San Jose,CA,998537,37.338208200000004,-121.8863286
Austin,TX,885400,30.267153000000004,-97.7430608
Indianapolis,IN,843393,39.768403,-86.158068
Jacksonville,FL,842583,30.3321838,-81.655651
San Francisco,CA,837442,37.7749295,-122.4194155
Columbus,OH,822553,39.9611755,-82.9987942
Charlotte,NC,792862,35.2270869,-80.8431267
Fort Worth,TX,792727,32.7554883,-97.3307658
Detroit,MI,688701,42.331427000000005,-83.0457538
El Paso,TX,674433,31.7775757,-106.4424559
Memphis,TN,653450,35.1495343,-90.0489801
Seattle,WA,652405,47.6062095,-122.3320708
Denver,CO,649495,39.739235799999996,-104.990251
Washington,DC,646449,38.9071923,-77.0368707
Boston,MA,645966,42.360082500000004,-71.0588801
Nashville,TN,634464,36.1626638,-86.7816016
Baltimore,MD,622104,39.2903848,-76.6121893
Oklahoma City,OK,610613,35.4675602,-97.5164276
Louisville,KY,609893,38.252664700000004,-85.7584557
Portland,OR,609456,45.523062200000005,-122.6764816
Las Vegas,NV,603488,36.169941200000004,-115.1398296
Milwaukee,WI,599164,43.0389025,-87.9064736
Albuquerque,NM,556495,35.0853336,-106.6055534
Tucson,AZ,526116,32.2217429,-110.926479
Fresno,CA,509924,36.7468422,-119.7725868
Sacramento,CA,479686,38.5815719,-121.4943996
Long Beach,CA,469428,33.770050399999995,-118.1937395
Kansas City,MO,467007,39.0997265,-94.5785667
Mesa,AZ,457587,33.4151843,-111.8314724
Virginia Beach,VA,448479,36.8529263,-75.977985
Atlanta,GA,447841,33.7489954,-84.3879824
Colorado Springs,CO,439886,38.8338816,-104.8213634
Omaha,NE,434353,41.25236339999999,-95.9979883
Raleigh,NC,431746,35.7795897,-78.6381787
Miami,FL,417650,25.7616798,-80.1917902
Oakland,CA,406253,37.8043637,-122.2711137
Minneapolis,MN,400070,44.977753,-93.2650108
Tulsa,OK,398121,36.1539816,-95.992775
Cleveland,OH,390113,41.499320000000004,-81.6943605
Wichita,KS,386552,37.688889,-97.336111
Arlington,TX,379577,32.735687,-97.1080656
New Orleans,LA,378715,29.9510658,-90.0715323
Bakersfield,CA,363630,35.3732921,-119.0187125
Tampa,FL,352957,27.950575,-82.4571776
Honolulu,HI,347884,21.3069444,-157.8583333
Aurora,CO,345803,39.729431899999994,-104.8319195
Anaheim,CA,345012,33.8352932,-117.9145036
Santa Ana,CA,334227,33.7455731,-117.8678338
St. Louis,MO,318416,38.6270025,-90.1994042
Riverside,CA,316619,33.9533487,-117.3961564
Corpus Christi,TX,316381,27.800582799999997,-97.396381
Lexington-Fayette,KY,308428,38.040583700000006,-84.5037164
Pittsburgh,PA,305841,40.440624799999995,-79.9958864
Anchorage,AK,300950,61.2180556,-149.9002778
Stockton,CA,298118,37.9577016,-121.2907796
Cincinnati,OH,297517,39.103118200000004,-84.5120196
St. Paul,MN,294873,44.953702899999996,-93.0899578
Toledo,OH,282313,41.6639383,-83.555212
Greensboro,NC,279639,36.072635399999996,-79.7919754
Newark,NJ,278427,40.735657,-74.1723667
Plano,TX,274409,33.0198431,-96.6988856
Henderson,NV,270811,36.0395247,-114.9817213
Lincoln,NE,268738,40.8257625,-96.6851982
Buffalo,NY,258959,42.8864468,-78.8783689
Jersey City,NJ,257342,40.7281575,-74.0776417
Chula Vista,CA,256780,32.6400541,-117.0841955
Fort Wayne,IN,256496,41.079273,-85.1393513
Orlando,FL,255483,28.5383355,-81.3792365
St. Petersburg,FL,249688,27.773056,-82.64
Chandler,AZ,249146,33.3061605,-111.8412502
Laredo,TX,248142,27.530567100000003,-99.4803241
Norfolk,VA,246139,36.8507689,-76.2858726
Durham,NC,245475,35.99403289999999,-78.898619
Madison,WI,243344,43.07305170000001,-89.4012302
Lubbock,TX,239538,33.5778631,-101.8551665
Irvine,CA,236716,33.6839473,-117.7946942
Winston-Salem,NC,236441,36.0998596,-80.244216
Glendale,AZ,234632,33.538652299999995,-112.1859866
Garland,TX,234566,32.912624,-96.6388833
Hialeah,FL,233394,25.8575963,-80.2781057
Reno,NV,233294,39.529632899999996,-119.8138027
Chesapeake,VA,230571,36.7682088,-76.2874927
Gilbert,AZ,229972,33.3528264,-111.789027
Baton Rouge,LA,229426,30.458282899999997,-91.1403196
Irving,TX,228653,32.814017699999994,-96.9488945
Scottsdale,AZ,226918,33.494170399999994,-111.9260519
North Las Vegas,NV,226877,36.1988592,-115.1175013
Fremont,CA,224922,37.548269700000006,-121.9885719
Boise City,ID,214237,43.6187102,-116.2146068
Richmond,VA,214114,37.540724600000004,-77.4360481
San Bernardino,CA,213708,34.1083449,-117.2897652
Birmingham,AL,212113,33.5206608,-86.80249
Spokane,WA,210721,47.6587802,-117.4260466
Rochester,NY,210358,43.16103,-77.6109219
Des Moines,IA,207510,41.600544799999994,-93.6091064
Modesto,CA,204933,37.6390972,-120.9968782
Fayetteville,NC,204408,35.0526641,-78.8783585
Tacoma,WA,203446,47.252876799999996,-122.4442906
Oxnard,CA,203007,34.1975048,-119.1770516
Fontana,CA,203003,34.0922335,-117.435048
Columbus,GA,202824,32.4609764,-84.9877094
Montgomery,AL,201332,32.366805199999995,-86.2999689
Moreno Valley,CA,201175,33.9424658,-117.2296717
Shreveport,LA,200327,32.5251516,-93.7501789
Aurora,IL,199963,41.7605849,-88.3200715
Yonkers,NY,199766,40.9312099,-73.8987469
Akron,OH,198100,41.081444700000006,-81.5190053
Huntington Beach,CA,197575,33.660297,-117.9992265
Little Rock,AR,197357,34.7464809,-92.2895948
Augusta-Richmond County,GA,197350,33.4734978,-82.0105148
Amarillo,TX,196429,35.2219971,-101.8312969
Glendale,CA,196021,34.1425078,-118.255075
Mobile,AL,194899,30.6953657,-88.0398912
Grand Rapids,MI,192294,42.9633599,-85.6680863
Salt Lake City,UT,191180,40.760779299999996,-111.8910474
Tallahassee,FL,186411,30.4382559,-84.2807329
Huntsville,AL,186254,34.730368799999994,-86.5861037
Grand Prairie,TX,183372,32.7459645,-96.9977846
Knoxville,TN,183270,35.96063839999999,-83.9207392
Worcester,MA,182544,42.262593200000005,-71.8022934
Newport News,VA,182020,37.087082099999996,-76.4730122
Brownsville,TX,181860,25.9017472,-97.4974838
Overland Park,KS,181260,38.9822282,-94.6707917
Santa Clarita,CA,179590,34.3916641,-118.542586
Providence,RI,177994,41.8239891,-71.4128343
Garden Grove,CA,175140,33.773905299999996,-117.9414477
Chattanooga,TN,173366,35.0456297,-85.3096801
Oceanside,CA,172794,33.1958696,-117.3794834
Jackson,MS,172638,32.298757300000005,-90.1848103
Fort Lauderdale,FL,172389,26.122438600000002,-80.1373174
Santa Rosa,CA,171990,38.440428999999995,-122.7140548
Rancho Cucamonga,CA,171386,34.1063989,-117.5931084
Port St. Lucie,FL,171016,27.273049199999996,-80.3582261
Tempe,AZ,168228,33.4255104,-111.9400054
Ontario,CA,167500,34.0633443,-117.6508876
Vancouver,WA,167405,45.6387281,-122.6614861
Cape Coral,FL,165831,26.5628537,-81.9495331
Sioux Falls,SD,164676,43.5445959,-96.7311034
Springfield,MO,164122,37.20895720000001,-93.2922989
Peoria,AZ,162592,33.5805955,-112.2373779
Pembroke Pines,FL,162329,26.007765,-80.2962555
Elk Grove,CA,161007,38.4087993,-121.3716178
Salem,OR,160614,44.9428975,-123.0350963
Lancaster,CA,159523,34.6867846,-118.1541632
Corona,CA,159503,33.8752935,-117.5664384
Eugene,OR,159190,44.0520691,-123.0867536
Palmdale,CA,157161,34.5794343,-118.1164613
Salinas,CA,155662,36.6777372,-121.6555013
Springfield,MA,153703,42.1014831,-72.589811
Pasadena,TX,152735,29.6910625,-95.2091006
Fort Collins,CO,152061,40.5852602,-105.084423
Hayward,CA,151574,37.6688205,-122.0807964
Pomona,CA,151348,34.055103,-117.7499909
Cary,NC,151088,35.791540000000005,-78.7811169
Rockford,IL,150251,42.2711311,-89.0939952
Alexandria,VA,148892,38.804835499999996,-77.0469214
Escondido,CA,148738,33.1192068,-117.086421
McKinney,TX,148559,33.197246500000006,-96.6397822
Kansas City,KS,148483,39.114053000000006,-94.6274636
Joliet,IL,147806,41.525031,-88.0817251
Sunnyvale,CA,147559,37.368829999999996,-122.0363496
Torrance,CA,147478,33.835849200000006,-118.3406288
Bridgeport,CT,147216,41.18654779999999,-73.1951767
Lakewood,CO,147214,39.7047095,-105.0813734
Hollywood,FL,146526,26.0112014,-80.1494901
Paterson,NJ,145948,40.916765399999996,-74.171811
Naperville,IL,144864,41.7508391,-88.1535352
Syracuse,NY,144669,43.0481221,-76.1474244
Mesquite,TX,143484,32.7667955,-96.5991593
Dayton,OH,143355,39.758947799999994,-84.1916069
Savannah,GA,142772,32.0835407,-81.0998342
Clarksville,TN,142357,36.5297706,-87.3594528
Orange,CA,139969,33.787794399999996,-117.8531119
Pasadena,CA,139731,34.1477849,-118.1445155
Fullerton,CA,138981,33.8703596,-117.9242966
Killeen,TX,137147,31.117119399999996,-97.7277959
Frisco,TX,136791,33.1506744,-96.8236116
Hampton,VA,136699,37.0298687,-76.3452218
McAllen,TX,136639,26.203407100000003,-98.2300124
Warren,MI,134873,42.5144566,-83.0146526
Bellevue,WA,133992,47.610377,-122.2006786
West Valley City,UT,133579,40.691613200000006,-112.0010501
Columbia,SC,133358,34.0007104,-81.0348144
Olathe,KS,131885,38.8813958,-94.8191285
Sterling Heights,MI,131224,42.5803122,-83.0302033
New Haven,CT,130660,41.308274,-72.9278835
Miramar,FL,130288,25.9860762,-80.3035602
Waco,TX,129030,31.549333,-97.1466695
Thousand Oaks,CA,128731,34.1705609,-118.8375937
Cedar Rapids,IA,128429,41.9778795,-91.6656232
