name,street,city,state,zip,lat,lon,capacity
U.S. Bank Stadium,401 Chicago Ave,Minneapolis,MN,55415,44.973774,-93.258736,73000
First Avenue,701 N 1st Ave, Minneapolis,MN,55403,44.97800,-93.27594,1550
The Chicago Theatre,175 N State St,Chicago,IL,60601,41.8855,-87.6276,3600
Wrigley Field,1060 W Addison St,Chicago,IL,60613,41.9484,-87.6553,41649
Radio City Music Hall,1260 6th Ave,New York,NY,10020,40.759979,-73.980049,6013
Madison Square Garden,Pennsylvania Plaza,New York,NY,20000,40.7505,-73.9934,19500
Carnegie Hall,881 7th Ave,New York,NY,10019,40.7651,-73.9799,2800
The Fillmore,9 E Allen Street Philadelphia,,PA,19123,39.9656,-75.1351,2500
9:30 Club,815 V St NW,Washington,DC,20001,38.9179,-77.0237,1200
Ottobar,2549 N Howard St,Baltimore,MD,21218,39.3189,-76.6196,400
Crypto.com Arena,111 S Figueroa St,Los Angeles,CA,90015,34.043087,-118.267616,20000
Hollywood Bowl,2301 N Highland Ave,Los Angeles,CA,90068,34.1122,-118.3391,17500
Red Rocks,18300 W Alameda Pkwy,Morrison,CO,80465,39.6655,-105.2052,9545
The Fillmore Auditorium,1510 N Clarkson St,Denver,CO,80218,39.7402,-104.9772,3900
Ryman Auditorium,16 5th Ave N,Nashville,TN,37219,36.1612,-86.7785,2362
Fenway Park,4 Jersey St, Boston,MA,02215,42.3467,-71.0972,37775
The Gorge Amphitheater,54 Silica Rd NW,Quincy,WA,98848,47.1010,-119.9955,27500
The Greek Theatre,2700 N Vermont Ave,Los Angeles,CA,90027,34.1195,-118.2963,5900
